danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.199,0.977,10,-4.766,0,0.129,1.46e-05,0.431,0.191,0.108,92.818,audio_features,2kyI7pZgJrvkMcO8rWkCef,spotify:track:2kyI7pZgJrvkMcO8rWkCef,https://api.spotify.com/v1/tracks/2kyI7pZgJrvkMcO8rWkCef,https://api.spotify.com/v1/audio-analysis/2kyI7pZgJrvkMcO8rWkCef,71000,5
0.148,0.998,6,-3.958,1,0.232,3.1e-06,0.184,0.184,0.0615,197.312,audio_features,6nMfqMqE6K37UlAx7Xpwm4,spotify:track:6nMfqMqE6K37UlAx7Xpwm4,https://api.spotify.com/v1/tracks/6nMfqMqE6K37UlAx7Xpwm4,https://api.spotify.com/v1/audio-analysis/6nMfqMqE6K37UlAx7Xpwm4,110427,4
0.49,0.966,0,-4.441,1,0.127,1.18e-05,0.0033,0.319,0.192,120.101,audio_features,0lgGQC44zxmqpbF5S99rbU,spotify:track:0lgGQC44zxmqpbF5S99rbU,https://api.spotify.com/v1/tracks/0lgGQC44zxmqpbF5S99rbU,https://api.spotify.com/v1/audio-analysis/0lgGQC44zxmqpbF5S99rbU,162294,4
0.475,0.978,11,-4.656,1,0.0851,4.93e-06,0.000563,0.189,0.22,115.027,audio_features,4kmBETppohETrSOl7iq5Gu,spotify:track:4kmBETppohETrSOl7iq5Gu,https://api.spotify.com/v1/tracks/4kmBETppohETrSOl7iq5Gu,https://api.spotify.com/v1/audio-analysis/4kmBETppohETrSOl7iq5Gu,176009,4
0.467,0.996,10,-6.872,0,0.208,8.67e-05,0.689,0.261,0.0661,155.035,audio_features,3AWGGXuXLScjORK5TtUXxI,spotify:track:3AWGGXuXLScjORK5TtUXxI,https://api.spotify.com/v1/tracks/3AWGGXuXLScjORK5TtUXxI,https://api.spotify.com/v1/audio-analysis/3AWGGXuXLScjORK5TtUXxI,159840,4
0.489,0.951,7,-4.651,1,0.0647,0.000128,0.49,0.111,0.13,93.487,audio_features,3BRbPn1mZ18hDGhy8jYjB1,spotify:track:3BRbPn1mZ18hDGhy8jYjB1,https://api.spotify.com/v1/tracks/3BRbPn1mZ18hDGhy8jYjB1,https://api.spotify.com/v1/audio-analysis/3BRbPn1mZ18hDGhy8jYjB1,257875,3
0.555,0.959,1,-4.58,1,0.0668,2.68e-05,0.543,0.0969,0.299,102.531,audio_features,4nwkxiAVNFMlF360A80vqQ,spotify:track:4nwkxiAVNFMlF360A80vqQ,https://api.spotify.com/v1/tracks/4nwkxiAVNFMlF360A80vqQ,https://api.spotify.com/v1/audio-analysis/4nwkxiAVNFMlF360A80vqQ,225920,4
0.596,0.901,10,-4.665,0,0.198,4.26e-05,0.632,0.0929,0.331,120.985,audio_features,34U2idBaN6XPa1PBgTaU2v,spotify:track:34U2idBaN6XPa1PBgTaU2v,https://api.spotify.com/v1/tracks/34U2idBaN6XPa1PBgTaU2v,https://api.spotify.com/v1/audio-analysis/34U2idBaN6XPa1PBgTaU2v,136410,4
0.578,0.886,10,-5.767,1,0.0988,0.00285,0.906,0.0842,0.149,110.081,audio_features,0OYruIaqXQQOTJL7lkYc4V,spotify:track:0OYruIaqXQQOTJL7lkYc4V,https://api.spotify.com/v1/tracks/0OYruIaqXQQOTJL7lkYc4V,https://api.spotify.com/v1/audio-analysis/0OYruIaqXQQOTJL7lkYc4V,130720,4
0.494,0.948,1,-5.323,1,0.0706,8.97e-05,0.831,0.277,0.587,165.015,audio_features,51OQkvpYLhdCqv1W4IzFvF,spotify:track:51OQkvpYLhdCqv1W4IzFvF,https://api.spotify.com/v1/tracks/51OQkvpYLhdCqv1W4IzFvF,https://api.spotify.com/v1/audio-analysis/51OQkvpYLhdCqv1W4IzFvF,131000,4
