,index,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,cluster_x,PC1,PC2,PCA_EuclidianDist(Xsign),1th_Boundary
0,0,66,151565,False,0.765,0.497,1,-7.806,0,0.0402,0.492,0.366,0.143,0.457,112.195,79,-0.517205090350391,0.4624977183557743,-0.5341373416954274,-1
1,1,65,89293,False,0.72,0.422,1,-13.338,0,0.069,0.474,0.0847,0.155,0.546,112.219,79,-0.4513454455441161,0.6380492746207567,-0.6690641712761433,-1
2,2,49,259066,False,0.632,0.651,7,-8.658,0,0.0401,0.756,3.99e-06,0.726,0.652,119.567,65,-0.49514408236351654,0.7224663654706691,-0.7629241576685385,-1
3,3,49,216446,False,0.61,0.42,4,-10.889,0,0.0462,0.815,0.0,0.123,0.553,96.313,60,-0.4281342511596024,0.8136086358861176,-0.8328810382189413,-1
4,4,50,273906,False,0.58,0.33,7,-13.703,1,0.0295,0.596,1.44e-06,0.0849,0.373,136.408,50,0.434998320740289,0.44837957250525384,0.8186983207855077,1
5,5,49,244426,False,0.357,0.469,0,-11.003,1,0.043,0.848,0.000239,0.924,0.263,168.139,32,0.5443239165207859,0.29175738609407736,0.8462108819303666,1
6,6,49,112052,False,0.819,0.438,11,-10.611,1,0.303,0.378,0.0,0.37,0.809,130.099,21,0.35687006449669534,0.4613023738187837,0.7622933525048399,1
7,7,50,231866,False,0.581,0.721,9,-9.86,0,0.0441,0.612,0.000358,0.648,0.67,105.843,65,-0.5572016495816285,0.6515348697566785,-0.7203266897835493,-1
8,8,51,200826,False,0.492,0.794,5,-5.823,1,0.046,0.196,2.62e-06,0.873,0.683,167.815,36,0.3454776854386473,0.005188122876457479,0.5955002858726013,1
9,9,52,207533,False,0.633,0.551,11,-12.294,1,0.0427,0.00731,0.123,0.144,0.427,94.946,24,0.23192286763881853,0.09745596953603813,0.491678061694267,1
10,10,0,137933,False,0.499,0.215,11,-17.369,0,0.031,0.898,0.913,0.0989,0.74,132.383,47,-0.5369663071708215,0.815137546550313,-0.8641752607239588,-1
11,11,0,192026,False,0.574,0.883,9,-6.686,0,0.136,0.0606,0.0,0.0524,0.692,123.095,69,-0.6802997425738609,0.22573475955720693,-0.48591568212137487,-1
12,12,48,222732,False,0.773,0.873,1,-4.955,0,0.0486,0.482,1.87e-06,0.0995,0.636,124.968,77,-0.5087295600664284,0.42222185453654326,-0.495189135281102,-1
13,13,54,229540,False,0.556,0.537,7,-10.761,1,0.0282,0.377,0.0,0.757,0.313,95.914,34,0.3623828044694203,0.20719526762110863,0.6464847856944624,1
14,14,0,230706,False,0.446,0.752,9,-8.252,0,0.0528,0.448,4.38e-05,0.121,0.476,132.938,85,-0.607720661139532,0.39828035838782183,-0.5353422412659361,-1
15,15,50,155466,False,0.559,0.505,8,-9.446,1,0.0335,0.737,0.0,0.0878,0.776,139.12,49,0.4505066160683411,0.5441015201925778,0.8869926625578096,1
16,16,51,235385,False,0.582,0.538,2,-9.395,0,0.0353,0.636,2.23e-06,0.868,0.355,76.008,63,-0.46081553465098957,0.5669081982208759,-0.6048372465880574,-1
17,17,1,181600,False,0.568,0.396,8,-13.921,1,0.029,0.738,0.159,0.116,0.578,136.489,45,0.4641026731218776,0.5034076922811628,0.873705861493247,1
18,18,51,282891,False,0.343,0.225,1,-14.937,0,0.0384,0.957,0.000249,0.661,0.101,144.533,62,-0.3700278535965701,0.725947839228902,-0.7358036089338728,-1
19,19,51,236162,False,0.826,0.226,9,-14.557,1,0.128,0.423,0.0,0.0889,0.487,92.434,24,0.4070597116627185,0.5410102258410816,0.8511283858237327,1
20,20,48,214000,False,0.522,0.365,2,-11.031,1,0.0448,0.745,0.0,0.927,0.342,117.57,32,0.5279142280936492,0.39959202378943337,0.8745423556047318,1
21,21,50,244013,False,0.524,0.636,6,-5.884,0,0.0302,0.163,0.0,0.11,0.247,138.074,80,-0.6497684683356548,0.21741243042419667,-0.4550637243050599,-1
22,22,51,214626,False,0.564,0.856,7,-4.994,1,0.0363,0.215,0.0,0.337,0.726,120.528,21,0.30669055258549616,0.06114972022404447,0.5600389804481685,1
23,23,0,154960,False,0.457,0.224,9,-19.476,0,0.0344,0.715,1.2e-06,0.224,0.48,80.845,61,-0.44912734655313563,0.906062923475534,-0.9276862192801637,-1
24,24,50,194706,False,0.533,0.574,2,-8.145,1,0.0264,0.176,2.77e-05,0.913,0.488,107.895,39,0.40394821135921155,0.05327725355406071,0.6561148747636923,1
25,25,54,236973,False,0.616,0.833,2,-7.932,1,0.0323,0.0392,9.77e-05,0.801,0.553,104.043,38,0.3487775278480738,-0.0792312187534539,0.6039967830055127,1
26,26,52,233733,False,0.485,0.412,2,-8.516,1,0.037,0.597,0.0,0.117,0.221,91.489,55,0.45503163565317795,0.24449336455259824,0.7462215573018814,1
27,27,0,133506,False,0.548,0.412,5,-10.248,1,0.0333,0.807,0.934,0.127,0.325,79.512,47,0.3796334832461873,0.16377860355450663,0.6505857008934266,1
28,28,0,193866,False,0.817,0.743,8,-6.656,0,0.0464,0.298,0.0,0.233,0.961,123.382,84,-0.5549634642503389,0.5755630634877864,-0.6513643792678667,-1
29,29,48,197511,False,0.483,0.666,9,-9.793,1,0.0342,0.0623,0.0485,0.687,0.426,175.897,36,0.2640870467355175,-0.02823394711753774,0.5148617750339232,1
30,30,53,291022,False,0.613,0.327,7,-10.558,1,0.03,0.767,1.37e-06,0.098,0.3,140.993,50,0.44936351274680086,0.4873992101099789,0.8524478359274402,1
31,31,0,79000,False,0.797,0.415,5,-14.557,0,0.0514,0.881,0.0,0.0873,0.965,113.42,60,-0.3415885861041235,1.065065921016744,-1.0689966722192346,-1
32,32,49,222720,False,0.592,0.37,7,-9.482,0,0.0318,0.817,5.68e-05,0.107,0.209,139.862,59,-0.49833432345690537,0.7177866836548167,-0.7595312103126367,-1
33,33,0,200360,False,0.541,0.321,5,-14.418,1,0.0329,0.714,0.00345,0.101,0.549,133.537,45,0.5272779647672844,0.5227207608104477,0.9366952697088979,1
34,34,50,186160,False,0.675,0.413,0,-9.974,1,0.0338,0.791,0.0,0.0928,0.504,114.122,55,0.5620725049437806,0.4806628168879069,0.943662279008907,1
35,35,51,233293,False,0.411,0.61,9,-6.444,0,0.036,0.384,0.0,0.279,0.498,116.006,73,-0.626055473453292,0.4379049163436689,-0.577216107599342,-1
36,36,0,218066,False,0.565,0.61,0,-13.236,1,0.0372,0.568,0.0,0.245,0.921,93.504,53,0.5652443803832291,0.4076293470153683,0.9114741270571594,1
37,37,0,255093,False,0.533,0.905,4,-5.858,1,0.0612,0.238,6.12e-06,0.223,0.726,86.503,3,0.36392973618679025,0.0015278760337072983,0.6139316373828247,1
38,38,0,355440,False,0.736,0.704,11,-9.654,0,0.0398,0.278,0.0,0.0966,0.96,97.378,69,-0.5967964802493589,0.6290961955073802,-0.7183521573122781,-1
39,39,0,213573,False,0.684,0.708,9,-11.404,1,0.0299,0.513,2.19e-06,0.088,0.84,134.685,1,0.4107427988449269,0.4104076045480173,0.7778273896542017,1
40,40,0,383626,False,0.479,0.722,4,-5.615,0,0.0299,0.24,1.18e-05,0.158,0.59,126.726,84,-0.5694564700569492,0.27296560247555374,-0.4201935939493706,-1
41,41,50,175800,False,0.617,0.568,9,-10.731,0,0.0279,0.0523,2.01e-05,0.152,0.526,113.571,70,-0.6527133134891376,0.4068114590202403,-0.5724277911244152,-1
42,42,51,264506,False,0.654,0.593,0,-8.189,0,0.0284,0.043,1.36e-06,0.0555,0.555,94.561,77,-0.5429450311916203,0.29355174112093985,-0.4147160667432535,-1
43,43,0,296200,False,0.497,0.931,9,-6.104,1,0.126,0.0832,0.0,0.0513,0.95,197.08,2,0.27876108682944756,-0.02600223901455917,0.5294000409698028,1
44,44,51,336733,False,0.543,0.358,7,-8.927,1,0.151,0.546,0.0,0.226,0.441,110.457,50,0.4004432688964825,0.3517997868716949,0.739485994523028,1
