danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.619,0.67,11,-10.322,0,0.0353,0.00165,0.0109,0.331,0.777,129.269,audio_features,45Ia1U4KtIjAPPU7Wv1Sea,spotify:track:45Ia1U4KtIjAPPU7Wv1Sea,https://api.spotify.com/v1/tracks/45Ia1U4KtIjAPPU7Wv1Sea,https://api.spotify.com/v1/audio-analysis/45Ia1U4KtIjAPPU7Wv1Sea,211933,4
0.464,0.795,1,-9.267,1,0.0926,0.0493,0.00244,0.399,0.612,158.691,audio_features,63T7DJ1AFDD6Bn8VzG6JE8,spotify:track:63T7DJ1AFDD6Bn8VzG6JE8,https://api.spotify.com/v1/tracks/63T7DJ1AFDD6Bn8VzG6JE8,https://api.spotify.com/v1/audio-analysis/63T7DJ1AFDD6Bn8VzG6JE8,202267,4
0.551,0.914,0,-4.063,0,0.0465,0.0263,1.35e-05,0.347,0.543,119.994,audio_features,0v1XpBHnsbkCn7iJ9Ucr1l,spotify:track:0v1XpBHnsbkCn7iJ9Ucr1l,https://api.spotify.com/v1/tracks/0v1XpBHnsbkCn7iJ9Ucr1l,https://api.spotify.com/v1/audio-analysis/0v1XpBHnsbkCn7iJ9Ucr1l,224493,4
0.807,0.414,4,-8.903,1,0.0352,0.105,2.78e-05,0.0813,0.502,108.944,audio_features,7iAqvWLgZzXvH38lA06QZg,spotify:track:7iAqvWLgZzXvH38lA06QZg,https://api.spotify.com/v1/tracks/7iAqvWLgZzXvH38lA06QZg,https://api.spotify.com/v1/audio-analysis/7iAqvWLgZzXvH38lA06QZg,223080,4
0.496,0.739,6,-7.193,1,0.0416,0.0209,0.00451,0.106,0.377,132.411,audio_features,4JiEyzf0Md7KEFFGWDDdCr,spotify:track:4JiEyzf0Md7KEFFGWDDdCr,https://api.spotify.com/v1/tracks/4JiEyzf0Md7KEFFGWDDdCr,https://api.spotify.com/v1/audio-analysis/4JiEyzf0Md7KEFFGWDDdCr,336000,4
0.405,0.935,5,-6.668,1,0.0862,0.0139,0.0,0.955,0.393,118.816,audio_features,0YwBZKT8JE4U5TwmYE9BV9,spotify:track:0YwBZKT8JE4U5TwmYE9BV9,https://api.spotify.com/v1/tracks/0YwBZKT8JE4U5TwmYE9BV9,https://api.spotify.com/v1/audio-analysis/0YwBZKT8JE4U5TwmYE9BV9,245680,4
0.383,0.662,2,-5.162,1,0.0333,0.165,0.0,0.248,0.138,121.154,audio_features,225xvV8r1yKMHErSWivnow,spotify:track:225xvV8r1yKMHErSWivnow,https://api.spotify.com/v1/tracks/225xvV8r1yKMHErSWivnow,https://api.spotify.com/v1/audio-analysis/225xvV8r1yKMHErSWivnow,298760,4
0.34,0.308,3,-10.518,1,0.0284,0.935,0.0,0.135,0.336,79.923,audio_features,0S8ibKBl3tjRmYbZhGHNhG,spotify:track:0S8ibKBl3tjRmYbZhGHNhG,https://api.spotify.com/v1/tracks/0S8ibKBl3tjRmYbZhGHNhG,https://api.spotify.com/v1/audio-analysis/0S8ibKBl3tjRmYbZhGHNhG,156560,4
0.543,0.87,9,-6.514,1,0.0428,0.358,0.000939,0.792,0.754,100.804,audio_features,0GjEhVFGZW8afUYGChu3Rr,spotify:track:0GjEhVFGZW8afUYGChu3Rr,https://api.spotify.com/v1/tracks/0GjEhVFGZW8afUYGChu3Rr,https://api.spotify.com/v1/audio-analysis/0GjEhVFGZW8afUYGChu3Rr,230400,4
0.757,0.868,9,-9.326,1,0.062,0.411,0.00221,0.355,0.815,138.918,audio_features,1J5XEPamp7iQaCU0aFuMnd,spotify:track:1J5XEPamp7iQaCU0aFuMnd,https://api.spotify.com/v1/tracks/1J5XEPamp7iQaCU0aFuMnd,https://api.spotify.com/v1/audio-analysis/1J5XEPamp7iQaCU0aFuMnd,199200,4
